temperature,humidity,co2_ppm,hour_of_day,day_of_week,expected_occupancy,actual_occupancy,outdoor_temp,floor,volume_m3,ac_btu,target_temp_offset,room_id,is_synthetic
19.85,67.3,435.33,1,0,0,1.0,16.5,6,150,30000,0.0614,M601,0
20.02,71.2,409.25,2,0,0,0.0,16.5,6,150,30000,0.0657,M604,0
19.66,61.8,425.45,2,0,0,0.0,16.55,10,190,36000,0.0264,M1001,0
20.04,67.8,400.0,4,0,0,0.0,16.9,8,150,30000,0.0,M802,0
20.14,65.0,406.64,4,0,0,0.0,16.97,4,190,36000,0.0724,A403,0
20.27,68.8,438.69,5,0,0,1.0,17.89,6,140,24000,0.0712,M602,0
19.96,69.4,400.0,6,0,0,0.0,18.47,8,150,30000,0.0,M802,0
20.12,76.0,403.73,9,0,0,0.0,20.28,6,150,30000,0.1764,M604,0
20.29,68.0,433.26,9,0,0,1.0,20.4,4,190,36000,0.227,A403,0
20.19,67.9,408.57,9,0,0,0.0,20.77,10,190,36000,0.223,M1001,0
20.34,67.8,400.0,14,0,0,0.0,22.5,4,190,36000,0.2723,A403,0
19.98,65.3,443.63,14,0,0,1.0,22.47,8,150,30000,0.4103,M802,0
20.45,72.5,421.26,14,0,0,0.0,22.45,6,150,30000,0.1947,M601,0
20.47,73.6,400.0,16,0,0,0.0,22.03,6,140,24000,0.2046,M602,0
19.91,64.5,408.7,16,0,0,0.0,22.03,10,190,36000,0.2516,M1001,0
20.47,62.1,432.99,16,0,36,1.0,21.88,4,190,36000,0.3437,A403,0
20.13,65.6,425.29,16,0,0,0.0,21.88,6,150,30000,0.2243,M601,0
20.34,64.9,428.52,16,0,36,0.0,21.8,4,190,36000,0.2046,A403,0
19.84,67.4,423.93,16,0,36,0.0,21.71,4,190,36000,0.16,A403,0
20.52,70.1,870.13,17,0,36,18.0,21.62,4,190,36000,1.2875,A403,0
21.26,64.6,891.21,17,0,36,19.0,21.53,4,190,36000,1.364,A403,0
20.48,70.4,861.04,17,0,36,18.0,21.43,4,190,36000,1.2747,A403,0
20.79,73.9,904.26,17,0,36,19.0,21.33,4,190,36000,1.4549,A403,0
20.86,67.7,864.04,17,0,36,18.0,21.22,4,190,36000,1.3647,A403,0
21.17,73.1,865.66,17,0,36,18.0,21.11,4,190,36000,1.0606,A403,0
20.81,69.1,867.03,18,0,36,18.0,21.0,4,190,36000,1.0639,A403,0
20.12,67.6,414.58,18,0,0,0.0,20.89,6,140,24000,0.1421,M602,0
19.89,66.8,401.57,21,0,0,0.0,18.11,6,150,30000,0.0,M604,0
20.03,65.1,408.36,0,1,0,0.0,16.64,6,150,30000,0.0171,M601,0
19.84,67.3,419.03,2,1,0,0.0,16.51,6,140,24000,0.0174,M602,0
20.1,70.7,410.71,2,1,0,0.0,16.57,4,190,36000,0.1694,A403,0
19.89,68.6,456.43,4,1,0,1.0,16.9,10,190,36000,0.0,M1001,0
20.39,71.6,428.02,4,1,0,0.0,16.97,8,150,30000,0.0,M802,0
19.4,66.8,401.52,4,1,0,0.0,17.04,4,190,36000,0.1634,A403,0
19.74,67.8,420.37,4,1,0,0.0,17.12,6,150,30000,0.0517,M604,0
19.83,70.4,446.18,6,1,0,1.0,18.6,8,150,30000,0.1394,M802,0
19.95,72.4,436.76,8,1,0,1.0,19.5,6,150,30000,0.0919,M604,0
20.02,70.3,430.43,8,1,0,0.0,19.5,6,140,24000,0.0,M602,0
20.28,65.2,440.44,8,1,36,1.0,19.89,8,150,30000,0.1931,M802,0
20.0,61.9,420.31,8,1,36,0.0,20.02,8,150,30000,0.142,M802,0
20.28,68.1,443.11,8,1,36,1.0,20.15,8,150,30000,0.0987,M802,0
19.88,67.4,795.44,9,1,36,15.0,20.28,8,150,30000,0.9849,M802,0
20.86,65.0,802.33,9,1,36,15.0,20.4,8,150,30000,1.0417,M802,0
20.56,69.2,811.6,9,1,36,16.0,20.53,8,150,30000,1.0397,M802,0
19.76,63.9,400.0,9,1,0,0.0,20.65,6,150,30000,0.1432,M601,0
21.07,75.4,798.38,9,1,36,15.0,20.65,8,150,30000,1.0716,M802,0
20.69,66.1,788.7,9,1,36,15.0,20.77,8,150,30000,1.0747,M802,0
20.06,68.4,801.95,9,1,36,15.0,20.89,8,150,30000,1.0393,M802,0
20.38,69.7,801.48,10,1,36,15.0,21.0,8,150,30000,1.1942,M802,0
21.12,72.1,819.65,10,1,36,16.0,21.11,8,150,30000,1.2886,M802,0
21.16,73.0,779.45,10,1,36,14.0,21.22,8,150,30000,1.1237,M802,0
20.98,68.8,789.01,10,1,36,15.0,21.33,8,150,30000,1.1031,M802,0
20.65,70.1,813.53,10,1,36,16.0,21.43,8,150,30000,1.2969,M802,0
20.74,67.4,779.13,10,1,36,14.0,21.53,8,150,30000,1.0784,M802,0
20.69,67.9,792.53,11,1,36,15.0,21.62,8,150,30000,1.3093,M802,0
20.16,67.6,437.49,11,1,0,1.0,22.03,6,150,30000,0.2015,M601,0
20.42,65.3,414.42,12,1,0,0.0,22.1,10,190,36000,0.3684,M1001,0
19.95,62.4,400.0,12,1,0,0.0,22.32,6,140,24000,0.2317,M602,0
20.46,70.4,419.74,13,1,0,0.0,22.43,4,190,36000,0.1659,A403,0
19.77,70.5,442.24,14,1,0,1.0,22.43,6,150,30000,0.2891,M604,0
20.23,62.5,424.02,15,1,36,0.0,22.27,6,150,30000,0.2477,M601,0
20.42,69.8,400.0,15,1,36,0.0,22.22,6,150,30000,0.2624,M601,0
20.16,69.0,403.79,15,1,0,0.0,22.22,10,190,36000,0.2253,M1001,0
20.15,62.8,425.68,15,1,36,0.0,22.16,6,150,30000,0.1485,M601,0
20.81,72.7,782.64,16,1,36,15.0,22.1,6,150,30000,1.1473,M601,0
21.08,68.6,807.84,16,1,36,16.0,22.03,6,150,30000,1.1498,M601,0
21.13,69.3,815.34,16,1,36,16.0,21.96,6,150,30000,1.202,M601,0
20.56,67.0,822.94,16,1,36,16.0,21.88,6,150,30000,1.2394,M601,0
20.87,71.1,812.46,16,1,36,16.0,21.8,6,150,30000,1.0422,M601,0
20.31,70.5,831.75,16,1,36,16.0,21.71,6,150,30000,1.1893,M601,0
20.54,65.2,835.62,17,1,36,17.0,21.62,6,150,30000,1.2831,M601,0
